Region,Population,lat,lng
Auvergne - Rhone Alpes,8032377,45.2968119,4.6604809
Bourgogne - Franche Comte‚,2783039,47.0510946,5.0740568
Bretagne,3340379,48.1628283,-2.6841473
Centre - Val de Loire,2559073,47.5490251,1.7324062
Corse,344679,42.1880896,9.0684138
Grand Est,5511747,48.4845157,6.113035
Hauts de France,5962662,50.1024606,2.7247515
Ile de France,12278210,48.6443057,2.7537863
Normandie,3303500,49.0677708,0.3138532
Nouvelle Aquitaine,5999982,45.4039367,0.3756199
Occitanie,5924858,43.6487851,2.3435684
Pays de la Loire,3801797,47.6594864,-0.8186143
Provence - Alpes - Cote d'Azur,5055651,44.0580563,6.0638506